id,name,rating,announcementID,announcementWriter,startTime,
"1109","Codeforces Round #539 (Div. 1)","584","65227","markysha","2019-02-16 16:35:00",
"1113","Codeforces Round #539 (Div. 2)","584","65227","markysha","2019-02-16 16:35:00",
"886","Технокубок 2018 - Отборочный Раунд 3","584","55677","KAN","2017-11-12 16:05:00",
"889","Codeforces Round #445 (Div. 1, based on Technocup 2018 Elimination Round 3)","584","55677","KAN","2017-11-12 16:05:00",
"890","Codeforces Round #445 (Div. 2, based on Technocup 2018 Elimination Round 3)","584","55677","KAN","2017-11-12 16:05:00",
"1200","Codeforces Round #578 (Div. 2)","583","69006","djm03178","2019-08-11 12:35:00",
"1114","Codeforces Round #538 (Div. 2)","573","65033","Akikaze","2019-02-10 14:05:00",
"833","Codeforces Round #426 (Div. 1)","573","53525","xen","2017-07-30 14:35:00",
"834","Codeforces Round #426 (Div. 2)","573","53525","xen","2017-07-30 14:35:00",
"1100","Codeforces Round #532 (Div. 2)","569","64495","den2204","2019-01-13 14:35:00",
"553","Codeforces Round #309 (Div. 1)","567","18825","Lewin","2015-06-24 16:30:00",
"554","Codeforces Round #309 (Div. 2)","567","18825","Lewin","2015-06-24 16:30:00",
"981","Avito Code Challenge 2018","565","59657","300iq","2018-05-27 14:50:00",
"1081","Avito Cool Challenge 2018","557","63862","TLE","2018-12-16 14:35:00",
"718","Codeforces Round #373 (Div. 1)","557","47258","BigBag","2016-09-23 13:05:00",
"719","Codeforces Round #373 (Div. 2)","557","47258","BigBag","2016-09-23 13:05:00",
"437","Codeforces Round #250 (Div. 2)","557","12490","vfleaking","2014-06-01 13:00:00",
"438","Codeforces Round #250 (Div. 1)","557","12490","vfleaking","2014-06-01 13:00:00",
"750","Good Bye 2016","556","49376","Errichto","2016-12-30 14:15:00",
"1043","Codeforces Round #519 by Botan Investments","544","62750","Anadi","2018-10-28 15:35:00",
"933","Codeforces Round #462 (Div. 1)","544","57721","Tommyr7","2018-02-14 12:05:00",
"934","Codeforces Round #462 (Div. 2)","544","57721","Tommyr7","2018-02-14 12:05:00",
"757","Codecraft-17 and Codeforces Round #391 (Div. 1 + Div. 2, combined)","532","49663","Baba","2017-01-12 15:35:00",
"1179","Codeforces Round #569 (Div. 1)","529","67813","DmitryGrigorev","2019-06-21 17:05:00",
"1180","Codeforces Round #569 (Div. 2)","529","67813","DmitryGrigorev","2019-06-21 17:05:00",
"592","Codeforces Round #328 (Div. 2)","523","21284","Alekhine","2015-10-31 16:30:00",
"590","Codeforces Round #327 (Div. 1)","522","21185","GlebsHP","2015-10-25 09:00:00",
"1061","Codeforces Round #523 (Div. 2)","517","63352","Ashishgup","2018-11-22 15:45:00",
"1182","Codeforces Round #566 (Div. 2)","514","67566","McDic","2019-06-11 13:05:00",
"708","AIM Tech Round 3 (Div. 1)","514","46720","zeliboba","2016-08-24 16:35:00",
"471","Codeforces Round #269 (Div. 2)","511","13950","marat.snowbear","2014-09-26 15:30:00",
"613","Codeforces Round #339 (Div. 1)","501","22726","Tigutor","2016-01-14 16:35:00",
"614","Codeforces Round #339 (Div. 2)","501","22726","Tigutor","2016-01-14 16:35:00",
"912","Codeforces Round #456 (Div. 2)","499","56836","GreenGrape","2018-01-05 14:35:00",
"786","Codeforces Round #406 (Div. 1)","493","51083","DarthKnight","2017-03-23 15:05:00",
"787","Codeforces Round #406 (Div. 2)","493","51083","DarthKnight","2017-03-23 15:05:00",
"1153","Codeforces Round #551 (Div. 2)","490","66505","Aleph-0","2019-04-13 14:05:00",
"952","April Fools Contest 2018","490","58617","Nickolas","2018-04-01 15:35:00",
"935","Codeforces Round #465 (Div. 2)","480","57702","AhmedSoliman","2018-02-19 16:35:00",
"744","Codeforces Round #385 (Div. 1)","477","49110","Lewin","2016-12-17 16:35:00",
"745","Codeforces Round #385 (Div. 2)","477","49110","Lewin","2016-12-17 16:35:00",
"1088","Codeforces Round #525 (Div. 2)","476","63604","mohammedehab2002","2018-12-04 14:35:00",
"571","Codeforces Round #317 [AimFund Thanks-Round] (Div. 1)","468","19863","zeliboba","2015-08-22 16:30:00",
"572","Codeforces Round #317 [AimFund Thanks-Round] (Div. 2)","468","19863","zeliboba","2015-08-22 16:30:00",
"520","Codeforces Round #295 (Div. 2)","468","16707","Endagorion","2015-03-02 07:00:00",
"521","Codeforces Round #295 (Div. 1)","468","16707","Endagorion","2015-03-02 07:00:00",
"1174","Codeforces Round #563 (Div. 2)","466","67340","mohammedehab2002","2019-06-03 14:05:00",
"670","Codeforces Round #350 (Div. 2)","466","44705","MikeMirzayanov","2016-05-05 16:05:00",
"603","Codeforces Round #334 (Div. 1)","466","21860","desert97","2015-12-01 15:35:00",
"604","Codeforces Round #334 (Div. 2)","466","21860","desert97","2015-12-01 15:35:00",
"799","Playrix Codescapes Cup (Codeforces Round #413, rated, Div. 1 + Div. 2)","464","51920","MikeMirzayanov","2017-05-11 15:35:00",
"453","Codeforces Round #259 (Div. 1)","462","13247","MinakoKojima","2014-08-01 15:30:00",
"454","Codeforces Round #259 (Div. 2)","462","13247","MinakoKojima","2014-08-01 15:30:00",
"685","Codeforces Round #359 (Div. 1)","461","45556","platypus179","2016-06-23 16:35:00",
"686","Codeforces Round #359 (Div. 2)","461","45556","platypus179","2016-06-23 16:35:00",
"741","Codeforces Round #383 (Div. 1)","459","48735","Arpa","2016-12-06 14:35:00",
"742","Codeforces Round #383 (Div. 2)","459","48735","Arpa","2016-12-06 14:35:00",
"914","Codecraft-18 and Codeforces Round #458 (Div. 1 + Div. 2, combined)","458","57208","Superty","2018-01-20 15:35:00",
"442","Codeforces Round #253 (Div. 1)","458","12704","qwerty787788","2014-06-19 15:30:00",
"443","Codeforces Round #253 (Div. 2)","458","12704","qwerty787788","2014-06-19 15:30:00",
"1136","Codeforces Round #546 (Div. 2)","454","65818","DmitryGrigorev","2019-03-11 16:35:00",
"605","Codeforces Round #335 (Div. 1)","452","22002","craus","2015-12-09 16:05:00",
"977","Codeforces Round #479 (Div. 3)","451","59262","Vovuh","2018-05-06 14:05:00",
"1145","April Fools Day Contest 2019","446","66260","Nickolas","2019-04-01 15:05:00",
"264","Codeforces Round #162 (Div. 1)","446","6401","rng_58","2013-01-20 13:00:00",
"265","Codeforces Round #162 (Div. 2)","446","6401","rng_58","2013-01-20 13:00:00",
"989","Codeforces Round #487 (Div. 2)","444","59942","cyand1317","2018-06-11 13:35:00",
"698","Codeforces Round #363 (Div. 1)","444","46109","GlebsHP","2016-07-19 13:05:00",
"699","Codeforces Round #363 (Div. 2)","444","46109","GlebsHP","2016-07-19 13:05:00",
